Designator,Mid X,Mid Y,Layer,Rotation
D1, 3.600000mm, 31.400000mm, Bottom, 180
D2, 3.600000mm, 14.400000mm, Bottom, 180
D3, 76.000000mm, 37.000000mm, Bottom, 0
SS1, 51.500000mm, 18.250000mm, Bottom, 0
SB1, 58.500000mm, 17.500000mm, Bottom, 90
JB1, 58.000000mm, 2.000000mm, Bottom, 90
JC1, 40.000000mm, 20.500000mm, Bottom, 90
D4, 75.600000mm, 20.400000mm, Bottom, 180
D5, 75.600000mm, 3.400000mm, Bottom, 180
D6, 75.600000mm, -13.600000mm, Bottom, 180
D7, 50.400000mm, 42.600000mm, Bottom, 0
D8, 50.400000mm, 25.600000mm, Bottom, 0
D9, 50.400000mm, 8.600000mm, Bottom, 0
D10, 32.400000mm, 45.600000mm, Bottom, 0
D11, 32.400000mm, 28.600000mm, Bottom, 0
D12, 32.400000mm, 11.600000mm, Bottom, 0
D13, 14.400000mm, 39.600000mm, Bottom, 0
D14, 14.400000mm, 22.600000mm, Bottom, 0
D15, 14.400000mm, 5.600000mm, Bottom, 0
D16, 3.600000mm, -2.600000mm, Bottom, 180
